id,name,overview,synonym,update_by,published_at,created_by,updated_by,created_at,updated_at,belongs_to,related_symptom_w2v,related_symptom_bert
3,Mệt mỏi,"Mệt mỏi xảy ra hầu hết là một phần của phức hợp triệu chứng, nhưng đôi khi nó xuất hiện đơn độc hoặc là một triệu chứng chính, mệt mỏi là một trong những triệu chứng phổ biến nhất.<br>Mệt mỏi là khó khăn khi bắt đầu và duy trì hoạt động do thiếu năng lượng và kèm theo mong muốn nghỉ ngơi. Mệt mỏi thường gặp sau khi gắng sức, căng thẳng kéo dài, và thiếu ngủ.<br>Bệnh nhân có thể đề cập những triệu chứng quan trọng khác giống với mệt mỏi; và thường cần phải phân biệt chúng với triệu chứng mệt mỏi,bằng cách đặt câu hỏi chi tiết<br>Yếu<br>, một triệu chứng của hệ thống thần kinh hoặc rối loạn cơ, là không tạo ra đủ lực với nỗ lực co cơ tối đa. Rối loạn như Bệnh myasthenia gravis<br>và Hội chứng Eaton-Lambert<br>có thể là nguyên nhân gây ra yếu dần trong hoạt động,mô phỏng bởi sự mệt mỏi.<br>Khó thở<br>khi gắng sức, là một triệu chứng sớm của rối loạn tim mạch và hô hấp, có thể làm giảm dung nạp với hoạt động thể chất, mô phỏng bởi sự mệt mỏi. Các triệu chứng về hô hấp thường có thể được lộ ra khi hỏi bệnh cẩn thận hoặc phát triển thêm câu hỏi.<br>Chứng ngủ gà, triệu chứng này là sự rối loạn gây ra bởi sự thiếu ngủ (ví dụ:, viêm mũi dị ứng<br>, trào ngược thực quản<br>,đau nhức cơ xương khớp, ngưng thở khi ngủ,những rối loạn nặng mãn tính), là một rối loạn do nhu cầu mãnh liệt về giấc ngủ. Thường gặp hiện tượng ngáp và ngủ gật vài giờ vào ban ngày. Bệnh nhân thường có thể nói sự khác biệt giữa ngủ gà và mệt mỏi. Tuy nhiên, sự thiếu ngủ do khó đi vào giấc ngủ có thể gây đau cơ và mệt mỏi, và nhiều bệnh nhân bị mệt mỏi có rối loạn giấc ngủ, do đó sự khác biệt giữa mệt mỏi và buồn ngủ có thể là khó khăn.<br>Mệt mỏi có thể được phân loại theo thời gian, chẳng hạn như sau:<br>Mệt mỏi gần đây:<1 tháng<br>Mệt mỏi kéo dài: 1-6 tháng<br>Mệt mỏi mãn tính:> 6 tháng<br>Hội chứng mệt mỏi mãn tính<br>là một trong những nguyên nhân gây mệt mỏi mãn tính.",[],,2022-01-12 12:38:18.908+00,1,1,2022-01-12 10:06:17.208+00,2022-01-12 12:38:19.534+00,,"['Mệt mỏi', 'Mỏi mắt']",['Mệt mỏi']
117,Sưng phù nề,,,,2022-01-14 04:06:47.554+00,3,3,2022-01-14 04:06:44.896+00,2022-01-14 04:06:47.566+00,,"['Sưng phù nề', 'Sưng nề nhẹ quanh đầu xương', 'Sưng và cứng khớp', 'Sưng nề vùng da xung quanh', 'Sưng quanh hậu môn', 'Sưng mặt', 'Sưng đau vùng chấn thương', 'Sưng tinh hoàn', 'Mi sưng nề']",['Sưng phù nề']
68,Tiểu nhiều lần,"Tiểu nhiều lần -<br><br>Tiểu nhiều lần là tình trạng người bệnh cần phải đi tiểu rất nhiều lần trong ngày, hoặc vào ban đêm (tiểu đêm), hoặc cả hai, nhưng lượng nước tiểu bình thường hoặc ít hơn bình thường. Thường đi kèm với cảm giác về một nhu cầu cấp bách phải đi tiểu ngay (tiểu gấp). Tiểu nhiều lần cần được phân biệt với đa niệu<br>, đó là tình trạng số lượng nước tiểu quá nhiều > 3 L / ngày.",[],Nam,2022-01-12 12:42:20.333+00,1,1,2022-01-12 10:06:17.819+00,2022-01-14 04:58:00.577+00,,"['Tiểu nhiều lần', 'Nước chảy từng ít một từ âm đạo', 'Đầu lớn bất thường', 'Tiểu không tự chủ', 'Đau khi đi tiểu', 'Tiêu chảy nhiều lần', 'Không thể nâng 2 tay qua đầu cùng lúc', 'Khó chịu khi đi tiểu', 'Tiểu máu', 'Tiểu gấp', 'Tiểu khó', 'Tiểu đêm', 'Nước tiểu màu vàng', 'Sợ thức ăn có nhiều dầu mỡ', 'Khẩu cái tiết nhiều dịch', 'Tiểu tiện ít', 'Nước tiểu trắng đục', 'Tiểu ra máu', 'Đi tiểu rát', 'Bí tiểu', 'Uống nhiều nước', 'Đi tiểu đau']",['Tiểu nhiều lần']
2,Phù,"Phù là tình trạng sưng nề các mô mềm do thoát dịch vào khoảng kẽ. Dịch chủ yếu là nước, nhưng cũng có thể có sự tích tụ protein và chất lỏng giàu chất protein nếu có nhiễm trùng hoặc tắc nghẽn bạch huyết.<br>Phù có thể xuất hiện ở toàn thân hoặc cục bộ (giới hạn ở một chi hoặc một phần chi). Đôi khi, triệu chứng này xuất hiện đột ngột, bệnh nhân có thể mô tả rằng chân hoặc tay họ đột ngột xuất hiện tình trạng phù nề. Nhưng thông thường, triệu chứng phù xuất hiện kín đáo và từ từ tăng dần, khởi phát bằng các biểu hiện tăng cân, nặng mí mắt khi thức dậy vào buổi sáng, hay đi giầy thấy chật vào cuối ngày. Phù tuy tiến triển chậm, nhưng thường đã ở mức độ nặng trước khi bệnh nhân đi khám.<br>PETER SKINNER / THƯ VIỆN ẢNH KHOA HỌC<br>Triệu chứng phù thường ít gây khó chịu ngoài việc mặc quần áo chật; các triệu chứng đi kèm khác thường do bệnh lý nền gây ra. Bệnh nhân phù do suy tim<br>(nguyên nhân thường gặp) thường có khó thở gắng sức, khó thở khi nằm và khó thở kịch phát về đêm. Bệnh nhân bị phù do huyết khối tĩnh mạch sâu<br>(DVT) thường kèm theo đau.<br>Phù do tăng thể tích dịch ngoại bào thường thay đổi theo tư thế. Do đó, ở bệnh nhân đi lại được, phù khu trú ở cẳng chân và bàn chân; ở bệnh nhân nằm nhiều, phù xuất hiện ở mông, bộ phận sinh dục, và mặt sau đùi. Bệnh nhân nữ hay nằm nghiêng một bên, phù có thể chỉ khu trú ở một bên vú. Tắc mạch bạch huyết gây phù ở phần ngoại vi của vùng tắc nghẽn.<br>DR P. THƯ VIỆN ẢNH MARAZZI / KHOA HỌC",[],,2022-01-12 12:40:46.58+00,1,1,2022-01-12 10:06:17.193+00,2022-01-12 12:40:46.595+00,,"['Phù', 'Phù toàn thân', 'Phù chân']",['Phù']
197,Nôn mửa,,,,2022-01-14 07:11:24.649+00,1,1,2022-01-14 07:11:23.231+00,2022-01-14 07:11:24.665+00,,"['Nôn mửa', 'Buồn nôn']",['Nôn mửa']
242,Nhanh no,,,,2022-01-14 08:09:41.972+00,1,1,2022-01-14 08:09:39.284+00,2022-01-14 08:09:41.985+00,,['Nhanh no'],['Nhanh no']
243,Sốt cao,,,,2022-01-14 08:10:25.246+00,1,1,2022-01-14 08:10:22.947+00,2022-01-14 08:10:25.257+00,,"['Sốt cao', 'Cao huyết áp', 'Sốt tăng dần', 'Mức đường huyết cao']",['Sốt cao']
301,"Da dày, nứt nẻ, bong vảy",,,,2022-01-14 09:56:51.977+00,1,1,2022-01-14 09:56:50.515+00,2022-01-14 09:56:51.987+00,,"['Da dày, nứt nẻ, bong vảy', 'Rối loạn tiêu hóa', 'Vết loét từ mụn cơm, nút ruồi', 'Vết loét có bờ nông, đáy nhẵn', 'Khối u bề mặt mủn nát, dễ chảy máu', 'Chảy máu đường tiêu hóa', 'Đau ngực', 'Da dày, cứng', 'Phù bìu, vú', 'Phát ban, ngứa', 'Giật tóc khỏi da đầu, giật lông mày, lông mi', 'Xuất huyết ở mặt tay, chân', 'Cáu gắt, giận dữ']","['Da dày, nứt nẻ, bong vảy']"
362,Răng mọc thừa,,,,2022-01-15 04:51:57.252+00,3,3,2022-01-15 04:51:54.046+00,2022-01-15 04:51:57.266+00,,"['Răng mọc thừa', 'Răng mọc lệch', 'Mọc lông vùng kín']","['Răng mọc thừa', 'Răng mọc lệch']"
431,Thấp huyết áp,,,,2022-01-15 07:48:35.886+00,3,3,2022-01-15 07:48:33.782+00,2022-01-15 07:48:35.922+00,,"['Thấp huyết áp', 'Tăng huyết áp', 'Cao huyết áp', 'Mức đường huyết cao', 'Hạ huyết áp', 'Huyết áp tăng', 'Hạ huyết áp tư thế đứng', 'Nhiệt độ cơ thể thấp', 'Phì đại các hạch bạch huyết', 'Khẩu cái bị xung huyết', 'Hạch bạch huyết tại cổ', 'Hạch bạch huyết tại hàm']",['Thấp huyết áp']
363,Răng mọc lệch,,,,2022-01-15 04:52:19.533+00,3,3,2022-01-15 04:52:14.144+00,2022-01-15 04:52:19.547+00,,"['Răng mọc lệch', 'Răng mọc thừa']","['Răng mọc thừa', 'Răng mọc lệch']"
508,Chảy dịch ở tai,,,,2022-01-16 09:31:00.58+00,2,2,2022-01-16 09:30:58.546+00,2022-01-16 09:31:00.592+00,,"['Chảy dịch ở tai', 'Chảy máu trong thực quản', 'Chảy nước ở tai', 'Tiêu chảy ra máu', 'Dịch chảy từ ống tai ngoài', 'Chảy máu cam', 'Chảy máu trong quan hệ', 'Chảy máu âm đạo', 'Chảy máu âm đạo trong giai đoạn đầu của thai kỳ', 'Chảy máu âm đạo trong giai đoạn cuối của thai kỳ', 'Tăng trưởng chậm ở trẻ em', 'Tinh dịch có máu', 'Nước chảy từng ít một từ âm đạo', 'Cục ở họng', 'Có dịch từ âm đạo', 'Tiêu chảy', 'Đau ở vùng hạ sườn phải', 'Đau ở vùng chậu trong giai đoạn đầu của thai kỳ', 'Chảy nước mắt', 'Chảy nước mũi', 'Đau ở vùng chậu', 'Tiêu chảy nhiều lần', 'Đau ở hạ vị', 'Nổi cục ở dây thần kinh ngoại vi', 'Tăng tiết dịch âm đạo', 'Khẩu cái tiết nhiều dịch', 'Có khối ở cổ', 'Dịch vàng ở dương vật', 'Dịch trắng ở dương vật', 'Tiêu chảy ở trẻ em', 'Sưng ở vùng chậu', 'Đau ở vùng bụng', 'Các khối u ở miệng', 'Chảy dịch ở núm vú', 'Chảy máu quá nhiều', 'Ra dịch âm đạo', 'Đau ở nhiều khớp', 'Tăng bilirubin máu ở trẻ sơ sinh', 'Vết nứt ở hậu môn', 'Phát ban ở trẻ sơ sinh và trẻ nhỏ', 'Nước mắt có dịch mờ đục', 'Dịch mũi vàng', 'Ho ở người lớn']","['Chảy dịch ở tai', 'Chảy nước ở tai', 'Chảy dịch ở núm vú']"
364,Không ngửi thấy mùi,,,,2022-01-15 05:18:28.082+00,3,3,2022-01-15 04:53:35.944+00,2022-01-15 05:18:28.107+00,,"['Không ngửi thấy mùi', 'Thấy chấm đen trước mắt']",['Không ngửi thấy mùi']
565,Mất ý thức,,,,2022-01-17 10:25:50.419+00,1,1,2022-01-17 10:25:48.762+00,2022-01-17 10:25:50.432+00,,"['Mất ý thức', 'Mất phương hướng', 'Có ý định tự sát', 'Thay đổi nhận thức', 'Chuyển động không theo ý muốn', 'Mất nhận thức không gian', 'Đồng tử không đều', 'Đi ngoài phân sống', 'Đột nhiên mất sức', 'Mất nước', 'Khó khăn để nghe các lời nói và âm thanh khác', 'Không nói hoặc biểu lộ cảm xúc', 'Mất hứng thú', 'Mất thăng bằng', 'Mất cân bằng', 'Mất trí nhớ', 'Mất vị giác', 'Sợ thức ăn có nhiều dầu mỡ', 'Rối loạn ý thức', 'Mất chức năng vùng bị thương', 'Mất thị lực cấp tính']",['Mất ý thức']
605,Bi quan,,,,2022-01-18 02:11:31.191+00,1,1,2022-01-18 02:11:29.8+00,2022-01-18 02:11:31.214+00,,"['Bi quan', 'Đau khi quan hệ', 'Các vấn đề liên quan đến tình trạng khí']",['Bi quan']
692,Giác mạc mất độ bóng,,,,2022-01-18 03:48:16.566+00,1,1,2022-01-18 03:48:15.216+00,2022-01-18 03:48:16.584+00,,"['Giác mạc mất độ bóng', 'Đục giác mạc', 'Mất hứng thú', 'Đốm giác mạc', 'Đỏ quanh giác mạc', 'Nhiệt độ cơ thể thấp', 'Mất thính giác', 'Mất nhận thức không gian', 'Giả mạc hai bên thành họng', 'Mất thính giác đột ngột', 'Mất khứu giác', 'Cảm giác ngứa ran bên trong cổ chân', 'Cảm giác kiến bò trong người', 'Xuất huyết kết mạc mắt', 'Da mất cảm giác', 'Mất vị giác', 'Giảm cảm giác', 'Cảm giác khối u chặn họng', 'Đột nhiên mất sức', 'Mất nước', 'Mất chức năng vùng bị thương', 'Mất cảm giác', 'Mất thị lực cấp tính', 'Cảm giác dị vật trong mắt']",['Giác mạc mất độ bóng']
713,Nhẹ cân,,,,2022-01-18 04:05:39.08+00,1,1,2022-01-18 04:05:37.328+00,2022-01-18 04:05:39.103+00,,"['Nhẹ cân', 'Giảm cân', 'Tăng cân']",['Nhẹ cân']
693,Đục giác mạc,,,,2022-01-18 03:48:50.781+00,1,1,2022-01-18 03:48:49.255+00,2022-01-18 03:48:50.792+00,,"['Đục giác mạc', 'Giác mạc mất độ bóng', 'Đốm giác mạc', 'Đỏ quanh giác mạc']",['Đục giác mạc']
19,Chảy máu cam,Chảy máu cam hay còn gọi là hiện tượng chảy máu mũi.,[],,2022-01-12 12:21:22.173+00,1,3,2022-01-12 10:06:17.351+00,2022-01-12 12:22:49.12+00,,"['Chảy máu cam', 'Chảy máu quá nhiều', 'Chảy dịch ở tai', 'Chảy máu trong thực quản', 'Nước bọt có máu', 'Chảy máu trong quan hệ', 'Chảy máu âm đạo', 'Nôn ra máu', 'Máu trong phân', 'Đờm có máu', 'Chảy máu mũi', 'Ho ra máu', 'Chảy nước dãi', 'Chảy nước ở tai', 'Tiêu chảy', 'Phân có máu', 'Tiêu chảy ra máu', 'Chảy nước mắt', 'Chảy nước mũi', 'Dịch chảy từ ống tai ngoài', 'Thiếu máu', 'Tăng bilirubin máu ở trẻ sơ sinh']",['Chảy máu cam']
